BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
47:D3:C4:DB:9D:BA,,Apple,-81,12,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-92,-127,10
75:F9:08:99:16:63,,Apple,-86,12,10
4B:17:5B:39:6B:C0,,Apple,-94,12,10
6B:C6:01:9A:8E:BC,,Apple,-87,12,10
F9:63:B5:9F:19:39,,Apple,-84,-127,10
FA:47:E5:87:4D:A5,V874da5,Apple,-93,0,10
74:9A:4B:DD:08:3C,,Google,-98,-127,10
EC:86:9D:48:8E:9A,,Apple,-94,-127,10
79:38:4C:22:7C:68,,Apple,-93,10,10
EE:71:A1:95:BA:98,,Apple,-82,-127,10
53:14:AA:43:0D:13,,Apple,-85,-127,10
0D:35:2B:73:6A:CF,,Microsoft,-93,-127,10
5F:D7:CE:BE:39:91,,Apple,-85,12,10
6F:C7:C6:D9:ED:0F,,Apple,-82,12,10
C6:5F:DA:98:11:55,,Apple,-88,-127,10
D4:62:96:E6:28:E9,Ve628e9,Apple,-89,0,10
D8:7B:2F:B2:E3:B4,Ion 200 RT,,-80,-127,10
42:63:B8:46:EB:8D,,Apple,-68,-127,10
65:E0:6A:96:70:0A,,Microsoft,-90,-127,10
F4:F9:99:F6:66:20,,Estimote,,-127,0
56:4D:4C:D4:8A:99,,Apple,-85,12,10
34:09:6A:BE:36:08,,Microsoft,-86,-127,10
E1:DB:7F:6B:2F:30,,Apple,-94,-127,10
43:8F:8C:AB:FF:36,,Apple,-91,-127,10
75:2E:A9:AF:DC:3A,,Apple,-85,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-92,-127,10
59:15:AC:A4:CC:BB,,Apple,-96,-127,10
69:05:C5:D5:EA:8D,,Microsoft,-96,-127,10
EE:FB:61:C0:F8:12,Flare RT,,-92,-127,10
7F:6D:3F:37:9F:94,,Google,-91,-127,10
5F:D6:17:D6:F7:4E,,Apple,-87,12,10
E2:B2:CE:66:80:C5,,Apple,-92,-127,10
67:26:B1:00:EE:76,,Apple,-85,-127,10
7D:74:68:E8:93:3C,,Apple,-92,12,10
2C:47:0D:7B:A5:97,,Microsoft,-98,-127,10
6C:C1:00:F9:62:C8,LE-Philips TAA5608,,-77,-4,10
D9:4E:24:3B:A1:62,,Apple,-90,-127,10
52:C8:69:E9:57:38,,Apple,-83,-127,10
