BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
4D:CF:FB:CC:05:38,,Apple,-81,9,10
D8:1C:65:2C:B3:C3,,Apple,-97,-127,10
58:B6:D5:EA:A3:A1,,Google,-67,-127,10
69:BE:A5:6D:73:4D,,Apple,-97,-127,10
7D:F0:EA:C2:C3:CB,,Apple,-85,-127,10
E8:53:0F:EE:FE:BB,,Apple,-72,-127,10
71:C0:D3:4C:3E:15,,Google,-87,-127,10
F8:21:81:99:C5:E8,,Apple,-83,-127,10
E2:2A:36:43:08:6E,,Apple,-86,-127,10
E2:BE:32:58:3F:5A,,Apple,-89,-127,10
FE:73:37:77:2A:2B,watch,,-77,-127,10
58:BB:CB:44:A3:BE,,Apple,-66,12,10
52:69:00:AC:05:6A,,Apple,-90,11,10
51:6B:24:CB:10:5F,,Apple,-97,12,10
E9:E6:3B:41:49:81,,Apple,-89,-127,10
FD:A1:71:D6:97:D4,,Apple,-91,-127,10
5B:76:1A:96:B4:17,LE-Jano Bose,Bose Corporation,-96,-10,10
CC:57:98:DA:18:AB,,Apple,-84,-127,10
66:9A:85:E9:7C:20,,Apple,-89,12,10
